类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.events.ContextMenuEvent,flash.events.Event,,,,,,flash.ContextMenuEvent,,,,,,1,,,
flash.events.ContextMenuEvent,,1,MENU_ITEM_SELECT,,,String,flash.ContextMenuEvent,1,flash.ContextMenuEvent.MENU_ITEM_SELECT,,,,1,,,
flash.events.ContextMenuEvent,,1,MENU_SELECT,,,String,flash.ContextMenuEvent,1,flash.ContextMenuEvent.MENU_SELECT,,,,1,,,
flash.events.ContextMenuEvent,,,mouseTarget,,,flash.display.InteractiveObject,flash.ContextMenuEvent,,,,,,1,,,
flash.events.ContextMenuEvent,,,contextMenuOwner,,,flash.display.InteractiveObject,flash.ContextMenuEvent,,,,,,1,,,
flash.events.ContextMenuEvent,,,isMouseTargetInaccessible,,,Boolean,flash.ContextMenuEvent,,,,,,1,,,
flash.events.ContextMenuEvent,,,,,clone,flash.events.Event,flash.ContextMenuEvent,,,,,,1,,,
flash.events.ContextMenuEvent,,,,,toString,String,flash.ContextMenuEvent,,,,,,1,,,
