类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.events.TextEvent,flash.events.Event,,,,,,egret.TextEvent,,,,,,1,,,
flash.events.TextEvent,,1,TEXT_INPUT,,,String,egret.TextEvent,1,,,,,0,,,
flash.events.TextEvent,,1,LINK,,,String,egret.TextEvent,,egret.TextEvent.LINK,,,,1,,,
flash.events.TextEvent,,,text,,,String,egret.TextEvent,,,,,,1,,,
flash.events.TextEvent,,,,,clone,flash.events.Event,egret.TextEvent,,,,,,1,,,
flash.events.TextEvent,,,,,toString,String,egret.TextEvent,,,,,,1,,,
