类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.ui.ContextMenuItem,flash.display.NativeMenuItem,,,,,,flash.ContextMenuItem,,,,,,1,,,
flash.ui.ContextMenuItem,,,separatorBefore,,,Boolean,flash.ContextMenuItem,,,,,,0,,,
flash.ui.ContextMenuItem,,,visible,,,Boolean,flash.ContextMenuItem,,,,,,0,,,
flash.ui.ContextMenuItem,,,caption,,,String,flash.ContextMenuItem,,,,,,0,,,
flash.ui.ContextMenuItem,,,,,clone,flash.display.NativeMenuItem,flash.ContextMenuItem,,,,,,0,,,
