类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.display3D.Context3DMipFilter,Object,,,,,,flash.Context3DMipFilter,,,,,,1,,,
flash.display3D.Context3DMipFilter,,1,MIPNEAREST,,,String,flash.Context3DMipFilter,1,flash.Context3DMipFilter.MIPNEAREST,,,1,1,,,
flash.display3D.Context3DMipFilter,,1,MIPLINEAR,,,String,flash.Context3DMipFilter,1,flash.Context3DMipFilter.MIPLINEAR,,,1,1,,,
flash.display3D.Context3DMipFilter,,1,MIPNONE,,,String,flash.Context3DMipFilter,1,flash.Context3DMipFilter.MIPNONE,,,1,1,,,
