类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.display3D.Context3DTriangleFace,Object,,,,,,flash.Context3DTriangleFace,,,,,,1,,,
flash.display3D.Context3DTriangleFace,,1,BACK,,,String,flash.Context3DTriangleFace,1,flash.Context3DTriangleFace.BACK,,,1,1,,,
flash.display3D.Context3DTriangleFace,,1,FRONT,,,String,flash.Context3DTriangleFace,1,flash.Context3DTriangleFace.FRONT,,,1,1,,,
flash.display3D.Context3DTriangleFace,,1,NONE,,,String,flash.Context3DTriangleFace,1,flash.Context3DTriangleFace.NONE,,,1,1,,,
flash.display3D.Context3DTriangleFace,,1,FRONT_AND_BACK,,,String,flash.Context3DTriangleFace,1,flash.Context3DTriangleFace.FRONT_AND_BACK,,,1,1,,,
