类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.system.IME,flash.events.EventDispatcher,,,,,,flash.IME,,,,,,1,,,
flash.system.IME,,,enabled,,,Boolean,flash.IME,,,,,,1,,,
flash.system.IME,,,conversionMode,,,String,flash.IME,,,,,,1,,,
flash.system.IME,,,isSupported,,,Boolean,flash.IME,,,,,,1,,,
flash.system.IME,,,,,compositionSelectionChanged,void,flash.IME,,,,,,1,,,
flash.system.IME,,,,,compositionAbandoned,void,flash.IME,,,,,,1,,,
flash.system.IME,,,,,doConversion,void,flash.IME,,,,,,1,,,
flash.system.IME,,,,,setCompositionString,void,flash.IME,,,,,,1,,,
