类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.errors.SQLError,Error,,,,,,flash.SQLError,,,,,,1,,,
flash.errors.SQLError,,,detailID,,,int,flash.SQLError,,,,,,1,,,
flash.errors.SQLError,,,detailArguments,,,Array,flash.SQLError,,,,,,1,,,
flash.errors.SQLError,,,details,,,String,flash.SQLError,,,,,,1,,,
flash.errors.SQLError,,,operation,,,String,flash.SQLError,,,,,,1,,,
flash.errors.SQLError,,,message,,,*,flash.SQLError,,,,,,1,,,
flash.errors.SQLError,,,name,,,*,flash.SQLError,,,,,,1,,,
flash.errors.SQLError,,,,,toString,String,flash.SQLError,,,,,,1,,,
