类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.media.SoundTransform,Object,,,,,,flash.SoundTransform,,,,,,1,,,
flash.media.SoundTransform,,,leftToLeft,,,Number,flash.SoundTransform,,,,,,1,,,
flash.media.SoundTransform,,,leftToRight,,,Number,flash.SoundTransform,,,,,,1,,,
flash.media.SoundTransform,,,rightToRight,,,Number,flash.SoundTransform,,,,,,1,,,
flash.media.SoundTransform,,,volume,,,Number,flash.SoundTransform,,,,,,1,,,
flash.media.SoundTransform,,,rightToLeft,,,Number,flash.SoundTransform,,,,,,1,,,
flash.media.SoundTransform,,,pan,,,Number,flash.SoundTransform,,,,,,1,,,
