类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
flash.ui.Keyboard,,1,KEYNAME_RIGHTARROW,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_RIGHTARROW,,,,1,,,
flash.ui.Keyboard,,1,COMMAND,,,uint,flash.Keyboard,1,flash.Keyboard.COMMAND,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F1,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F1,,,,1,,,
flash.ui.Keyboard,,1,CONTROL,,,uint,flash.Keyboard,1,flash.Keyboard.CONTROL,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F2,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F2,,,,1,,,
flash.ui.Keyboard,,1,DELETE,,,uint,flash.Keyboard,1,flash.Keyboard.DELETE,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F3,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F3,,,,1,,,
flash.ui.Keyboard,,1,DOWN,,,uint,flash.Keyboard,1,flash.Keyboard.DOWN,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F4,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F4,,,,1,,,
flash.ui.Keyboard,,1,END,,,uint,flash.Keyboard,1,flash.Keyboard.END,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F5,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F5,,,,1,,,
flash.ui.Keyboard,,1,ENTER,,,uint,flash.Keyboard,1,flash.Keyboard.ENTER,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F6,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F6,,,,1,,,
flash.ui.Keyboard,,1,ESCAPE,,,uint,flash.Keyboard,1,flash.Keyboard.ESCAPE,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F7,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F7,,,,1,,,
flash.ui.Keyboard,,1,F1,,,uint,flash.Keyboard,1,flash.Keyboard.F1,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F8,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F8,,,,1,,,
flash.ui.Keyboard,,1,F2,,,uint,flash.Keyboard,1,flash.Keyboard.F2,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F9,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F9,,,,1,,,
flash.ui.Keyboard,,1,F3,,,uint,flash.Keyboard,1,flash.Keyboard.F3,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F10,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F10,,,,1,,,
flash.ui.Keyboard,,1,F4,,,uint,flash.Keyboard,1,flash.Keyboard.F4,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F11,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F11,,,,1,,,
flash.ui.Keyboard,,1,F5,,,uint,flash.Keyboard,1,flash.Keyboard.F5,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F12,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F12,,,,1,,,
flash.ui.Keyboard,,1,F6,,,uint,flash.Keyboard,1,flash.Keyboard.F6,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F13,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F13,,,,1,,,
flash.ui.Keyboard,,1,F7,,,uint,flash.Keyboard,1,flash.Keyboard.F7,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F14,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F14,,,,1,,,
flash.ui.Keyboard,,1,F8,,,uint,flash.Keyboard,1,flash.Keyboard.F8,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F15,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F15,,,,1,,,
flash.ui.Keyboard,,1,F9,,,uint,flash.Keyboard,1,flash.Keyboard.F9,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F16,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F16,,,,1,,,
flash.ui.Keyboard,,1,F10,,,uint,flash.Keyboard,1,flash.Keyboard.F10,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F17,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F17,,,,1,,,
flash.ui.Keyboard,,1,F11,,,uint,flash.Keyboard,1,flash.Keyboard.F11,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F18,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F18,,,,1,,,
flash.ui.Keyboard,,1,F12,,,uint,flash.Keyboard,1,flash.Keyboard.F12,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F19,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F19,,,,1,,,
flash.ui.Keyboard,,1,F13,,,uint,flash.Keyboard,1,flash.Keyboard.F13,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F20,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F20,,,,1,,,
flash.ui.Keyboard,,1,F14,,,uint,flash.Keyboard,1,flash.Keyboard.F14,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F21,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F21,,,,1,,,
flash.ui.Keyboard,,1,F15,,,uint,flash.Keyboard,1,flash.Keyboard.F15,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F22,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F22,,,,1,,,
flash.ui.Keyboard,,1,HOME,,,uint,flash.Keyboard,1,flash.Keyboard.HOME,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F23,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F23,,,,1,,,
flash.ui.Keyboard,,1,INSERT,,,uint,flash.Keyboard,1,flash.Keyboard.INSERT,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F24,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F24,,,,1,,,
flash.ui.Keyboard,,1,LEFT,,,uint,flash.Keyboard,1,flash.Keyboard.LEFT,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F25,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F25,,,,1,,,
flash.ui.Keyboard,,1,NUMPAD,,,uint,flash.Keyboard,1,flash.Keyboard.NUMPAD,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F26,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F26,,,,1,,,
flash.ui.Keyboard,,1,NUMPAD_0,,,uint,flash.Keyboard,1,flash.Keyboard.NUMPAD_0,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F27,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F27,,,,1,,,
