类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.ui.ContextMenuClipboardItems,Object,,,,,,flash.ContextMenuClipboardItems,,,,,,1,,,
flash.ui.ContextMenuClipboardItems,,,copy,,,Boolean,flash.ContextMenuClipboardItems,,,,,,0,,,
flash.ui.ContextMenuClipboardItems,,,cut,,,Boolean,flash.ContextMenuClipboardItems,,,,,,0,,,
flash.ui.ContextMenuClipboardItems,,,selectAll,,,Boolean,flash.ContextMenuClipboardItems,,,,,,0,,,
flash.ui.ContextMenuClipboardItems,,,paste,,,Boolean,flash.ContextMenuClipboardItems,,,,,,0,,,
flash.ui.ContextMenuClipboardItems,,,clear,,,Boolean,flash.ContextMenuClipboardItems,,,,,,0,,,
flash.ui.ContextMenuClipboardItems,,,,,clone,flash.ui.ContextMenuClipboardItems,flash.ContextMenuClipboardItems,,,,,,0,,,
