类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
v1.0,,,,,,,,,,,,,,,,
flash.system.ApplicationDomain,,,,,,,flash.ApplicationDomain,,,,,,1,,10,
flash.system.ApplicationDomain,,1,currentDomain,1,,flash.system.ApplicationDomain,flash.ApplicationDomain,1,flash.ApplicationDomain.currentDomain,,,,1,,10,
flash.system.ApplicationDomain,,,parentDomain,1,,flash.system.ApplicationDomain,flash.ApplicationDomain,,,,,,1,,10,
flash.system.ApplicationDomain,,,,,getDefinition,Object,flash.ApplicationDomain,,,,,,1,,10,
flash.system.ApplicationDomain,,,,,hasDefinition,Boolean,flash.ApplicationDomain,,,,,,1,,10,
