类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.net.LocalConnection,flash.evnets.EventDispatcher,,,,,,flash.LocalConnection,,,,,,1,,
flash.net.LocalConnection,,,client,1,,void,flash.LocalConnection,,,,,,1,,
flash.net.LocalConnection,,,domain,,,String,flash.LocalConnection,,,,,,1,,
flash.net.LocalConnection,,,,,allowDomain,void,flash.LocalConnection,,,,,,0,,
flash.net.LocalConnection,,,,,allowInsecureDomain,void,flash.LocalConnection,,,,,,0,,
flash.net.LocalConnection,,,,,close,void,flash.LocalConnection,,,,,,0,,
flash.net.LocalConnection,,,,,connect,void,flash.LocalConnection,,,,,,0,,
flash.net.LocalConnection,,,,,send,void,flash.LocalConnection,,,,,,0,,
